,Title,URL,Year,Rating,Actors,Director
97,To Kill a Mockingbird,http://www.imdb.com/title/tt0056592/,1962,8.3," Gregory Peck, John Megna",Robert Mulligan 
98,Ladri di biciclette,http://www.imdb.com/title/tt0040522/,1948,8.3," Lamberto Maggiorani, Enzo Staiola",Vittorio De Sica 
99,Good Will Hunting,http://www.imdb.com/title/tt0119217/,1997,8.3," Robin Williams, Matt Damon",Gus Van Sant 
100,The Kid,http://www.imdb.com/title/tt0012349/,1921,8.3," Charles Chaplin, Edna Purviance",Charles Chaplin 
101,The Sting,http://www.imdb.com/title/tt0070735/,1973,8.3," Paul Newman, Robert Redford",George Roy Hill 
102,Jagten,http://www.imdb.com/title/tt2106476/,2012,8.3," Mads Mikkelsen, Thomas Bo Larsen",Thomas Vinterberg 
103,Toy Story 3,http://www.imdb.com/title/tt0435761/,2010,8.3," Tom Hanks, Tim Allen",Lee Unkrich 
104,Snatch,http://www.imdb.com/title/tt0208092/,2000,8.3," Jason Statham, Brad Pitt",Guy Ritchie 
105,Scarface,http://www.imdb.com/title/tt0086250/,1983,8.2," Al Pacino, Michelle Pfeiffer",Brian De Palma 
106,The Apartment,http://www.imdb.com/title/tt0053604/,1960,8.2," Jack Lemmon, Shirley MacLaine",Billy Wilder 
107,Per qualche dollaro in più,http://www.imdb.com/title/tt0059578/,1965,8.2," Clint Eastwood, Lee Van Cleef",Sergio Leone 
108,Metropolis,http://www.imdb.com/title/tt0017136/,1927,8.2," Brigitte Helm, Alfred Abel",Fritz Lang 
109,Monty Python and the Holy Grail,http://www.imdb.com/title/tt0071853/,1975,8.2," Graham Chapman, John Cleese",Terry Gilliam 
110,L.A. Confidential,http://www.imdb.com/title/tt0119488/,1997,8.2," Kevin Spacey, Russell Crowe",Curtis Hanson 
111,Jodaeiye Nader az Simin,http://www.imdb.com/title/tt1832382/,2011,8.2," Payman Maadi, Leila Hatami",Asghar Farhadi 
112,Indiana Jones and the Last Crusade,http://www.imdb.com/title/tt0097576/,1989,8.2," Harrison Ford, Sean Connery",Steven Spielberg 
113,Up,http://www.imdb.com/title/tt1049413/,2009,8.2," Edward Asner, Jordan Nagai",Pete Docter 
114,Rashômon,http://www.imdb.com/title/tt0042876/,1950,8.2," Toshirô Mifune, Machiko Kyô",Akira Kurosawa 
115,All About Eve,http://www.imdb.com/title/tt0042192/,1950,8.2," Bette Davis, Anne Baxter",Joseph L. Mankiewicz 
116,Batman Begins,http://www.imdb.com/title/tt0372784/,2005,8.2," Christian Bale, Michael Caine",Christopher Nolan 
117,Some Like It Hot,http://www.imdb.com/title/tt0053291/,1959,8.2," Marilyn Monroe, Tony Curtis",Billy Wilder 
118,Yôjinbô,http://www.imdb.com/title/tt0055630/,1961,8.2," Toshirô Mifune, Eijirô Tôno",Akira Kurosawa 
119,Der Untergang,http://www.imdb.com/title/tt0363163/,2004,8.2," Bruno Ganz, Alexandra Maria Lara",Oliver Hirschbiegel 
120,Unforgiven,http://www.imdb.com/title/tt0105695/,1992,8.2," Clint Eastwood, Gene Hackman",Clint Eastwood 
121,Die Hard,http://www.imdb.com/title/tt0095016/,1988,8.2," Bruce Willis, Alan Rickman",John McTiernan 
122,Heat,http://www.imdb.com/title/tt0113277/,1995,8.2," Al Pacino, Robert De Niro",Michael Mann 
123,The Treasure of the Sierra Madre,http://www.imdb.com/title/tt0040897/,1948,8.2," Humphrey Bogart, Walter Huston",John Huston 
124,Incendies,http://www.imdb.com/title/tt1255953/,2010,8.2," Lubna Azabal, Mélissa Désormeaux-Poulin",Denis Villeneuve 
125,Ikiru,http://www.imdb.com/title/tt0044741/,1952,8.2," Takashi Shimura, Nobuo Kaneko",Akira Kurosawa 
126,Green Book,http://www.imdb.com/title/tt6966692/,2018,8.2," Viggo Mortensen, Mahershala Ali",Peter Farrelly 
127,Raging Bull,http://www.imdb.com/title/tt0081398/,1980,8.2," Robert De Niro, Cathy Moriarty",Martin Scorsese 
